church_id,official_name,parish_name,parish_family_name,location_type,active_status,street_address,city,state,zip_code,latitude,longitude,phone,official_website,travel_zone,county,accessibility_notes,entrance_notes,primary_source_id,last_verified_date,research_status,notes
ff99d95e-0b8e-48fc-a028-b5acb774510a,"Saint John Fisher Church","St. John Fisher Parish","St. Gregory the Great Family of Parishes",church,active,"3227 Church St",Newtown,OH,45244,,,"(513) 561-9431",https://sjfchurch.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-015,2026-08-07,candidate,"Current parish and family pages agree on identity and address."
572440b1-3c95-49ca-afb9-06330505260c,"Guardian Angels Church","Guardian Angels Parish","St. Gregory the Great Family of Parishes",church,active,"6531 Beechmont Ave",Cincinnati,OH,45230,,,"(513) 231-7440",https://parish.gaparish.org/index.jsp,cincinnati_east_side,,,,SRC-PARISH-20260807-016,2026-08-07,candidate,"Current parish and family pages agree on 6531 Beechmont Ave; the Archdiocese dataset's 6539 address remains documented."
9172bb06-c043-452b-bb08-c5aefdbc25b3,"The Good Shepherd","Community of the Good Shepherd","Good Shepherd",church,active,"8815 E Kemper Rd",Cincinnati,OH,45249,,,"(513) 489-8815",https://good-shepherd.org/,cincinnati_east_side,,,,SRC-PARISH-20260807-017,2026-08-07,needs_resolution,"Montgomery and Blue Ash coverage relationships remain unverified."
42816be8-8c22-477e-9cc6-dae550e22262,"St. Saviour Church","Transfiguration of Our Lord Parish","Crescent Parishes",church,active,"4136 Myrtle Ave",Cincinnati,OH,45236,,,"(513) 791-9004",https://crescentparishes.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-018,2026-08-07,candidate,"Physical church retained after the four Crescent churches merged into Transfiguration of Our Lord Parish."
5712149d-f2ee-4b70-96a4-3d2f6251411b,"St. John the Evangelist Church","Transfiguration of Our Lord Parish","Crescent Parishes",church,active,"7121 Plainfield Rd",Cincinnati,OH,45236,,,"(513) 791-9004",https://crescentparishes.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-019,2026-08-07,candidate,"Physical church retained after the four Crescent churches merged into Transfiguration of Our Lord Parish."
17f8f3db-9814-4aa9-a50f-7ab5d8b7ff1a,"Nativity of Our Lord Church","Transfiguration of Our Lord Parish","Crescent Parishes",church,active,"5935 Pandora Ave",Cincinnati,OH,45213,,,"(513) 531-3164",https://crescentparishes.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-020,2026-08-07,candidate,"Physical church retained after the four Crescent churches merged into Transfiguration of Our Lord Parish."
f70100cd-234f-4bbb-b968-ba2dd8ed1a22,"Holy Trinity Church","Transfiguration of Our Lord Parish","Crescent Parishes",church,active,"2420 Drex Ave",Norwood,OH,45212,,,"(513) 531-3164",https://crescentparishes.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-021,2026-08-07,candidate,"Physical church retained after the four Crescent churches merged into Transfiguration of Our Lord Parish."
f074b691-27ff-4d0e-94d7-1e2d68dacd61,"St. Stephen Church","St. Stephen Parish","Riverview Catholics",church,active,"3804 Eastern Ave",Cincinnati,OH,45226,,,"(513) 871-3373",https://riverviewcatholics.org/contact-us/,cincinnati_east_side,,,,SRC-PARISH-20260807-022,2026-08-07,needs_resolution,"Columbia Tusculum coverage relationship remains unverified."
ca87f06d-391d-49ce-bfe2-6d404bf188ea,"Our Lord Christ the King Church","Our Lord Christ the King Parish","Riverview Catholics",church,active,"3223 Linwood Ave",Cincinnati,OH,45226,,,"(513) 321-4121",https://riverviewcatholics.org/christ-the-king/,cincinnati_east_side,,,,SRC-PARISH-20260807-023,2026-08-07,candidate,"Current official page identifies the church with Mt. Lookout."
d0dab63f-134b-4781-b132-b78fbd8560cf,"St. Mary Church","St. Mary Parish","Eastside Catholics",church,active,"2853 Erie Ave",Cincinnati,OH,45208,,,"(513) 321-1207",https://eastsidefaith.org/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-024,2026-08-07,candidate,"Current official family contact page confirms the physical destination."
50e1f7a6-c1c7-44a9-a926-ccb8eced7340,"St. Cecilia Church","St. Cecilia Parish","Eastside Catholics",church,active,"3105 Madison Rd",Cincinnati,OH,45209,,,"(513) 871-5757",https://stceciliacincinnati.org/,cincinnati_east_side,,,,SRC-PARISH-20260807-025,2026-08-07,candidate,"Current official parish evidence identifies the location with Oakley."
8436d4bc-a917-4546-97a7-07b436af8ec7,"Oratory of St. John Vianney at St. Anthony Church","St. Cecilia Parish","Eastside Catholics",oratory,active,"6104 Desmond St",Cincinnati,OH,45227,,,"(513) 871-5757",https://eastsidefaith.org/oratory-of-st-john-vianney,cincinnati_east_side,,,,SRC-PARISH-20260807-026,2026-08-07,candidate,"One physical destination represented as the current oratory at St. Anthony Church; the separate mailing address is not used."
2dd1e5c9-6823-49c4-afa6-0b8237c9b077,"St. Gertrude Church","St. Gertrude Parish","St. Gertrude",church,active,"6543 Miami Ave",Cincinnati,OH,45243,,,"(513) 561-5954",https://stgertrude.org/im-new/,cincinnati_east_side,,,,SRC-PARISH-20260807-027,2026-08-07,candidate,"Current parish page identifies the location with Madeira."
6eb2f63f-1c6e-4498-8aad-477867b2f0f3,"St. Vincent Ferrer Church","St. Vincent Ferrer Parish","St. Paul the Apostle",church,active,"7754 Montgomery Rd",Cincinnati,OH,45236,,,"(513) 791-9030",https://svfchurch.org/Contact-Us,cincinnati_east_side,,,,SRC-PARISH-20260807-028,2026-08-07,candidate,"Current official parish page confirms the location and St. Paul the Apostle family relationship."
0237d6e1-60ad-4e48-a05f-88097aeba89e,"All Saints Catholic Church","All Saints Parish","St. Paul the Apostle",church,active,"8939 Montgomery Rd",Cincinnati,OH,45236,,,"(513) 792-4600",https://www.allsaints.cc/contact-us,cincinnati_east_side,,,,SRC-PARISH-20260807-029,2026-08-07,needs_resolution,"Kenwood, Montgomery, and Blue Ash coverage relationships remain partly unresolved."
3ec2c517-2ef7-41ae-8a40-7bb187715e88,"St. Francis de Sales Church","St. Francis de Sales Parish","Riverview Catholics",church,active,"1600 Madison Rd",Cincinnati,OH,45206,,,"(513) 961-1945",https://stfrancisds.com/about/,cincinnati_east_side,,,,SRC-PARISH-20260807-030,2026-08-07,candidate,"Current parish evidence confirms East Walnut Hills and retains the Riverview relationship; the Riverview contact page omits this destination."
ebdf18e1-1dd7-449b-9f19-ead684d2047d,"Holy Cross-Immaculata Church","Holy Cross-Immaculata Parish","Riverview Catholics",church,active,"30 Guido St",Cincinnati,OH,45202,,,"(513) 721-6544",https://riverviewcatholics.org/contact-us/,cincinnati_east_side,,,,SRC-PARISH-20260807-031,2026-08-07,candidate,"Current official family evidence confirms the physical destination and Mt. Adams relationship."
